"county","date","actual_cases"
"基隆市","2020-02-12",0
"新竹市","2020-02-12",0
"嘉義市","2020-02-12",0
"新北市","2020-02-12",0
"桃園市","2020-02-12",1
"新竹縣","2020-02-12",0
"宜蘭縣","2020-02-12",1
"苗栗縣","2020-02-12",0
"彰化縣","2020-02-12",2
"南投縣","2020-02-12",2
"雲林縣","2020-02-12",0
"嘉義縣","2020-02-12",0
"屏東縣","2020-02-12",0
"澎湖縣","2020-02-12",0
"花蓮縣","2020-02-12",0
"台東縣","2020-02-12",0
"金門縣","2020-02-12",0
"連江縣","2020-02-12",0
"台北市","2020-02-13",7
"台中市","2020-02-13",2
"台南市","2020-02-13",1
"高雄市","2020-02-13",2
"基隆市","2020-02-13",0
"新竹市","2020-02-13",0
"嘉義市","2020-02-13",0
"新北市","2020-02-13",0
"桃園市","2020-02-13",1
"新竹縣","2020-02-13",0
"宜蘭縣","2020-02-13",1
"苗栗縣","2020-02-13",0
"彰化縣","2020-02-13",2
"南投縣","2020-02-13",2
"雲林縣","2020-02-13",0
"嘉義縣","2020-02-13",0
"屏東縣","2020-02-13",0
"澎湖縣","2020-02-13",0
"花蓮縣","2020-02-13",0
"台東縣","2020-02-13",0
"金門縣","2020-02-13",0
"連江縣","2020-02-13",0
"台北市","2020-02-14",7
"台中市","2020-02-14",2
"台南市","2020-02-14",1
"高雄市","2020-02-14",2
"基隆市","2020-02-14",0
"新竹市","2020-02-14",0
"嘉義市","2020-02-14",0
"新北市","2020-02-14",0
"桃園市","2020-02-14",1
"新竹縣","2020-02-14",0
"宜蘭縣","2020-02-14",1
"苗栗縣","2020-02-14",0
"彰化縣","2020-02-14",2
"南投縣","2020-02-14",2
"雲林縣","2020-02-14",0
"嘉義縣","2020-02-14",0
"屏東縣","2020-02-14",0
"澎湖縣","2020-02-14",0
"花蓮縣","2020-02-14",0
"台東縣","2020-02-14",0
"金門縣","2020-02-14",0
"連江縣","2020-02-14",0
"台北市","2020-02-15",7
"台中市","2020-02-15",2
"台南市","2020-02-15",1
"高雄市","2020-02-15",2
"基隆市","2020-02-15",0
"新竹市","2020-02-15",0
"嘉義市","2020-02-15",0
"新北市","2020-02-15",0
"桃園市","2020-02-15",1
"新竹縣","2020-02-15",0
"宜蘭縣","2020-02-15",1
"苗栗縣","2020-02-15",0
"彰化縣","2020-02-15",2
"南投縣","2020-02-15",2
"雲林縣","2020-02-15",0
"嘉義縣","2020-02-15",0
"屏東縣","2020-02-15",0
"澎湖縣","2020-02-15",0
"花蓮縣","2020-02-15",0
"台東縣","2020-02-15",0
"金門縣","2020-02-15",0
"連江縣","2020-02-15",0
"台北市","2020-02-16",7
"台中市","2020-02-16",2
"台南市","2020-02-16",1
"高雄市","2020-02-16",2
"基隆市","2020-02-16",0
"新竹市","2020-02-16",0
"嘉義市","2020-02-16",0
"新北市","2020-02-16",0
"桃園市","2020-02-16",1
"新竹縣","2020-02-16",0
"宜蘭縣","2020-02-16",1
"苗栗縣","2020-02-16",0
"彰化縣","2020-02-16",2
"南投縣","2020-02-16",2
"雲林縣","2020-02-16",0
"嘉義縣","2020-02-16",0
"屏東縣","2020-02-16",0
"澎湖縣","2020-02-16",0
"花蓮縣","2020-02-16",0
"台東縣","2020-02-16",0
"金門縣","2020-02-16",0
"連江縣","2020-02-16",0
"台北市","2020-02-17",7
"台中市","2020-02-17",2
"台南市","2020-02-17",1
"高雄市","2020-02-17",2
"基隆市","2020-02-17",0
"新竹市","2020-02-17",0
"嘉義市","2020-02-17",0
"新北市","2020-02-17",0
"桃園市","2020-02-17",1
"新竹縣","2020-02-17",0
"宜蘭縣","2020-02-17",1
"苗栗縣","2020-02-17",0
"彰化縣","2020-02-17",2
"南投縣","2020-02-17",2
"雲林縣","2020-02-17",0
"嘉義縣","2020-02-17",0
"屏東縣","2020-02-17",0
"澎湖縣","2020-02-17",0
"花蓮縣","2020-02-17",0
"台東縣","2020-02-17",0
"金門縣","2020-02-17",0
"連江縣","2020-02-17",0
"台北市","2020-02-18",7
"台中市","2020-02-18",2
"台南市","2020-02-18",1
"高雄市","2020-02-18",2
"基隆市","2020-02-18",0
"新竹市","2020-02-18",0
"嘉義市","2020-02-18",0
"新北市","2020-02-18",0
"桃園市","2020-02-18",1
"新竹縣","2020-02-18",0
"宜蘭縣","2020-02-18",1
"苗栗縣","2020-02-18",0
"彰化縣","2020-02-18",2
"南投縣","2020-02-18",2
"雲林縣","2020-02-18",0
"嘉義縣","2020-02-18",0
"屏東縣","2020-02-18",0
"澎湖縣","2020-02-18",0
"花蓮縣","2020-02-18",0
"台東縣","2020-02-18",0
"金門縣","2020-02-18",0
"連江縣","2020-02-18",0
"台北市","2020-02-19",7
"台中市","2020-02-19",2
"台南市","2020-02-19",1
"高雄市","2020-02-19",2
"基隆市","2020-02-19",0
"新竹市","2020-02-19",0
"嘉義市","2020-02-19",0
"新北市","2020-02-19",0
"桃園市","2020-02-19",1
"新竹縣","2020-02-19",0
"宜蘭縣","2020-02-19",1
"苗栗縣","2020-02-19",0
"彰化縣","2020-02-19",2
